Artist Name,MusicBrainz ID,Country,Area,Type,Genre Tags,Primary Language,English Ratio,Has English,Estimated Tracks,Albums,EPs,Singles,Total Releases,Latest Release Date,Active Since,Disbanded,MB Size Score,Max Tag Votes,Rating Count,Release Countries
NightStop,692d52cc-2e26-4c44-9a2e-d094fe28070b,Finland,Finland,Person,"darksynth, synthwave",eng,95%,Yes,100,7,3,15,25,2025-08-01,,No,38,2,0,2
Nightwish,00a9f935-ba93-4fc8-a33a-993abe9c936b,Finland,Finland,Group,"progressive metal, metal, finnish, gothic metal, power metal, melodic, female vocals, symphonic metal, finland, symphonic power metal",eng,96%,Yes,250,25,0,0,25,2024-09-20,1996,No,105,29,29,7
Nina Åström,a54a3b43-6a14-4d18-adfe-249a7b278e0e,Finland,Finland,Person,singer-songwriter,eng,62%,Yes,130,13,0,0,13,2018,,No,33,1,0,2
Noradrenaline,bcc297b1-34ec-4b77-ae29-510895db21e1,Finland,Finland,Person,experimental,eng,100%,Yes,15,1,1,0,2,2010-07-24,1991,No,18,1,2,1
Norma John,5bed8f00-c5a0-4c3f-8baf-72a3ccde6e1f,Finland,Finland,Group,soul,unknown,0%,No,0,0,0,0,0,,2008,No,1,1,0,0
Nuppu Oinas,38d73ee7-733f-449f-8873-d0e96a627ed1,Finland,Finland,Person,"r&b, pop, tiktok, finnish artist",fin,0%,No,1,0,0,1,1,2023-01-13,1996,No,6,1,0,1
Oddarrang,04b1c1d6-d1d4-4a46-9b7d-990913b31703,Finland,Finland,Group,"experimental, jazz, post-rock",eng,75%,Yes,60,6,0,0,6,2024-04-05,2003,No,28,1,0,5
Oddland,097a546b-8a74-4000-822a-9ebf20a22667,Finland,Finland,Group,progressive metal,unknown,0%,No,42,3,2,2,7,2022-03-11,2003,No,15,1,0,0
Okra Playground,77fdf2fc-ded8-4470-a554-01b4235ee7af,Finland,Finland,Group,"electronic, folk, world fusion",fin,33%,Yes,30,3,0,0,3,2022-10-28,2010,No,13,1,0,2
Olavi Uusivirta,a36db441-dbf5-45e9-80db-aedc90753a27,Finland,Finland,Person,"pop, alternative rock, singer-songwriter, indie pop, adult contemporary, pop rock, iskelmä, alternative/indie rock, contemporary pop/rock, adult alternative pop/rock",fin,0%,No,133,12,0,13,25,2022-09-10,1983,No,40,2,1,1
Omnium Gatherum,9319e8ca-75f1-4d43-acba-eb31c9f1c38e,Finland,Finland,Group,"melodic death metal, finnish, death metal",eng,96%,Yes,157,12,6,7,25,2025-11-07,1996,No,79,9,2,10
Onségen Ensemble,30cc96e5-1c85-4906-8b17-03239391d41e,Finland,Finland,Group,"post-rock, progressive rock, experimental, space rock",eng,60%,Yes,46,4,1,1,6,2022-11-10,2005,No,16,1,0,1
Oranssi Pazuzu,e9d2cdf6-d485-4074-9a53-9990c9a4d8b1,Finland,Finland,Group,"metal, finnish, black metal, experimental, psychedelic rock, psychedelic, abstract, avant-garde metal, psychedelic metal, space black metal",fin,5%,Yes,93,8,2,3,13,2024-10-11,2007,No,51,8,1,4
Orkidea,17294d99-11ea-4fb3-af2f-33e607a8c079,Finland,Finland,Person,"trance, electronic",eng,95%,Yes,143,11,5,8,25,2021-03-15,1977,No,48,1,1,4
Orvokki,d024bce3-b20d-4da6-948e-d0855f64ab79,Finland,Finland,Person,indie pop,fin,33%,Yes,25,2,1,0,3,2025-11-07,,No,10,1,0,1
Paleface,fda150d3-bb17-4f8e-bb0c-52f0da218ba8,Finland,Finland,Person,"hip hop rnb and dance hall, finnish, hip hop, political hip hop",fin,43%,Yes,146,13,1,11,25,2025-04-16,1978,No,34,1,0,1
Pariisin Kevät,94c49e49-ce70-4bba-a36b-79047ccb0f73,Finland,Finland,Group,"pop, indie pop, finnish rock, finnish pop",fin,0%,No,88,8,0,8,16,2024-05-24,2007,No,34,1,0,1
Paula Koivuniemi,dca3c0f1-daa7-4a3d-9c1d-1daa4bf1fac5,Finland,Finland,Person,"pop, finnish, iskelmä, finnish rock, finnish pop",fin,0%,No,240,24,0,0,25,2009,1947,No,35,2,0,1
Peela,247406d6-f41e-41a8-b711-d8c8ad5423a5,Finland,Finland,Group,"jazz, jazz fusion",eng,100%,Yes,16,1,1,1,3,2023-04-21,,No,13,1,0,2
Pekko Käppi,9dc1d367-8b0a-49b8-825e-78b88c93d28d,Finland,Finland,Person,"folk, folk rock, jouhikko",fin,8%,Yes,161,15,2,1,18,2026-04-02,1976,No,43,1,0,4
Pepe Ahlqvist,7a78e7cc-0ac1-4334-ad53-9c79838dcedb,Finland,Finland,Person,blues,eng,81%,Yes,135,13,1,0,14,2024-11-24,1956,No,38,1,0,3
Pepe Deluxé,04fa6faa-6b42-4c7a-b1db-9aa20b7e4853,Finland,Finland,Group,"art pop, trip hop, finnish, scandinavian, european",eng,100%,Yes,100,9,0,10,23,2024-06-21,1995,No,49,1,0,6
Petri Kuljuntausta,e2455d0a-d754-4699-b736-0a2977069bcb,Finland,Finland,Person,"experimental electronic, sound art, experimental",eng,100%,Yes,55,5,1,0,6,2016-12-06,1961,No,22,1,0,3
Petri Nygård,e6267f28-639a-4a1b-bf58-85d7cdeb6d8e,Finland,Finland,Person,"comedy rap, electropop",fin,0%,No,101,8,2,11,22,2022-04-08,1975,No,37,1,0,2
Pharaoh Overlord,a88146b9-5a2e-4865-9d07-96d6b2819878,Finland,Finland,Group,"rock, metal, stoner rock, psychedelic rock, experimental rock, rock and indie",eng,64%,Yes,232,23,0,2,25,2025-07-25,2000,No,49,1,0,6
Physics,26d5613a-0099-474b-82c7-5ec687a8a5ea,Finland,Finland,Person,drum and bass,eng,100%,Yes,26,1,1,11,13,2025-03-21,,No,46,2,0,6
Piirpauke,90e9e2b4-b1b2-491f-84c7-df117edaa9f5,Finland,Finland,Group,"jazz, world fusion, jazz fusion",mul,4%,Yes,250,25,0,0,25,2025-09-26,1974,No,49,2,1,4
Pintandwefall,b889c964-2d19-43b4-8347-d1e84f85db22,Finland,Finland,Group,"garage rock, _private tag 1, finnish",eng,95%,Yes,96,7,5,1,13,2022-02-25,2006,No,33,1,0,2
Pirkka-Pekka Petelius,50fba235-e20a-49c4-b307-d112fdd8a8f2,Finland,Finland,Person,,fin,0%,No,80,8,0,0,20,2015-11-13,1953,No,33,0,0,1
Poets of the Fall,482a5456-7d8a-4366-a2e9-6f38853df632,Finland,Finland,Group,"alternative metal, alternative rock, pop rock, rock",eng,100%,Yes,145,12,3,10,25,2022-04-29,2002,No,62,5,3,4
Pooma,ccb441cc-4c7d-485f-bea9-a23b06b327cb,Finland,Finland,Group,"post-rock, shoegaze, trip hop",eng,100%,Yes,13,1,0,3,4,2017-05-31,,No,19,2,0,3
Popeda,c03b2a7e-1938-4a8a-83af-206c2f22df4c,Finland,Finland,Group,"punk rock, manserock, finnish, finland, punk, rock",fin,0%,No,250,25,0,0,25,2017-03-17,1977,No,40,2,1,1
Poutatorvi,091d5cb5-3f67-41ae-b9f0-b163b5034282,Finland,Finland,Group,"world, latin, funk, electronic, experimental, world beat",mul,25%,Yes,30,2,2,0,5,2014-03-01,2005,No,17,1,0,2
Project Silence,563344a6-e531-4da0-a1be-984161a2954b,Finland,Finland,Group,"melodic death metal, industrial metal, metal, death metal, aggrotech, blackened death metal, synthwave, trance metal, electro metal, darksynth",eng,100%,Yes,58,4,1,13,18,2025-11-21,2008,No,42,1,1,2
Psylla,225c04b4-4967-4cb6-8c00-51efdb16b812,Finland,Finland,Person,"electronic, drum and bass",eng,100%,Yes,6,0,1,1,2,2022-09-29,,No,8,1,0,1
Pyhimys,d6241926-6d71-443b-a28e-4fa1e11ab59b,Finland,Finland,Person,"pop rap, hip hop",fin,9%,Yes,156,15,1,1,17,2021-07-23,1981,No,37,1,0,2
Radio Supernova,78328af3-4af9-435f-90be-a8b24610e445,Finland,Finland,Group,"shoegaze, dream pop",fin,0%,No,30,3,0,0,3,2023-03-03,2017,No,10,1,0,1
Radiopuhelimet,838e3977-5246-4040-9137-c6ecbc292896,Finland,Finland,Group,"finland, punk",fin,0%,No,201,19,2,1,22,2023-09-15,1986,No,37,1,0,2
Rajaton,52a9e588-8c75-4270-9842-09ec83e51571,Finland,Finland,Group,"a cappella, jazz",fin,25%,Yes,186,18,0,6,24,2022-11-28,1997,No,37,1,0,2
Rasmus Roimela,08b14367-7d7a-4928-80e5-072382724408,Finland,Finland,Person,"singer-songwriter, indie rock, synth-pop, indie pop, indie folk",eng,100%,Yes,33,3,0,3,6,2025-07-25,2004,No,16,1,0,1
Rattus,088827e0-902f-47ee-b622-15fe7b0534cf,Finland,Finland,Group,"punk, finnish, hardcore punk, finland, jyväskylä",fin,24%,Yes,152,13,4,2,19,2013-12-05,1978,No,53,2,0,7
Ravage Ritual,fe473fc2-8291-4d63-b064-a74b21557d5a,Finland,Finland,Group,metalcore,eng,100%,Yes,20,2,0,0,3,2016,2011,No,16,1,0,3
Red Moon Architect,0619c97d-51f6-470c-bfd7-739e8ecffc95,Finland,Finland,Group,"death-doom metal, funeral doom metal, doom metal",eng,100%,Yes,71,6,1,6,13,2025-04-17,2011,No,38,3,0,3
Redrama,e81c7de3-26bc-45f6-94fb-9316ff97eabd,Finland,Finland,Person,"hip hop, pop rap",eng,88%,Yes,82,5,3,17,25,2014-02-28,1977,No,37,1,0,2
Rene Kita,9b98c718-6f3f-4f1b-bb81-a5f6838efa3d,Finland,Finland,Person,"noise, experimental",eng,100%,Yes,40,4,0,0,4,2024-08-12,,No,18,1,0,3
Resound,9879cd2c-368d-48ef-8bc3-c9398c175373,Finland,Finland,Person,drum and bass,eng,100%,Yes,120,7,8,10,25,2024-12-06,,No,51,1,1,5
Ride for Revenge,5f933291-038e-459b-a9a7-eab084d90a5d,Finland,Finland,Group,"black metal, experimental black metal, finnish, darkness, evil, satan, experimental",eng,92%,Yes,180,15,6,0,21,2024-05-22,2001,No,41,2,0,3
Riistetyt,5a88cd43-cf7b-415a-b6ba-aabeaf61ca2f,Finland,Finland,Group,"anarcho-punk, hardcore punk, hardcore, punk, finland, punk rock, crust punk, finnish hardcore, d-beat",fin,8%,Yes,155,13,5,0,18,2013,1981,No,44,2,0,4
RinneRadio,a9cd845f-e0e0-405a-b177-7eaba1cbf0ce,Finland,Finland,Group,"electro jazz, electro, nu jazz",eng,76%,Yes,200,19,1,5,25,2025-09-26,1988,No,34,1,0,1
Risto,ef93da9e-2e6a-49e6-a139-6844f0a428a2,Finland,Finland,Group,"indie rock, rock",fin,11%,Yes,90,8,2,0,10,2026-04-03,2002,No,30,1,0,3
Roberto Rodriguez,08389efc-56dc-44a1-aa25-bfd3f8ba87de,Finland,Finland,Person,"house, deep house, techno, tech house, indie dance, peak time techno",eng,100%,Yes,39,2,3,4,10,2025-03-28,,No,30,1,0,3
Romantic Vision,78bc0227-07ae-4cbc-9c2e-ccd24c960ac2,Finland,Finland,Group,synth-pop,eng,100%,Yes,18,1,1,3,5,2005-03-30,,No,14,1,0,1
Roshi,0e304643-260d-4063-9042-9a2e7a3164bb,Finland,Finland,Person,drum and bass,eng,100%,Yes,5,0,1,0,1,2004-05-17,,No,9,1,0,2
Rubus,d498ffe5-d191-464a-a86d-23b6b1d65a7f,Finland,Finland,Person,"downtempo, instrumental, chillwave, boom bap, instrumental hip hop, lo-fi, lo-fi hip hop, hip hop",eng,90%,Yes,10,0,0,10,10,2025-07-21,,No,24,1,0,1
Ruudolf,6afca0dc-ffdb-4611-a15d-4feac2f23367,Finland,Finland,Person,"bodausanthem, christian hip hop, pop rap",fin,0%,No,77,7,1,2,10,2018-05-24,1983,No,24,1,0,1
Rytmihäiriö,ce6b102e-63f9-4618-a9cb-9731b5e37c4b,Finland,Finland,Group,"thrash metal, hardcore punk, grindcore, crossover thrash, surmacore",fin,7%,Yes,112,10,2,2,14,2023-08-11,1988,No,36,2,0,2
SG.7,9edb7d39-4c56-4718-9d25-4b407f185acf,Finland,Finland,Person,"satan, death, synthwave, black metal, lo-fi",eng,100%,Yes,18,0,3,3,6,2020-02-15,,No,16,1,0,1
SIG,fd5a22cb-7cd1-4a0d-9c0d-5abef1b52f15,Finland,Finland,Group,"finland, punk",fin,0%,No,150,15,0,0,15,2019,1978,No,34,1,0,1
Sadistik Forest,20afa94c-adcb-4aff-beae-e86cf5f57b90,Finland,Finland,Group,"post hardcore, progressive metal, sludge metal, thrash metal, metal, black metal, deathcore, doom, grind, grindcore",eng,100%,Yes,40,3,2,0,5,2021-05-28,2007,No,24,2,0,4
Sakari Kukko,77560496-d805-4541-beff-46d0397f53d4,Finland,Finland,Person,"jazz, world fusion",fin,10%,Yes,100,10,0,0,10,2015,1953,No,24,1,0,1
Salaliitto,16256298-ff14-4fad-b76d-c38951cacc7a,Finland,Finland,Group,indie rock,fin,0%,No,53,5,0,3,8,2026-03-28,2012,No,23,1,0,2
Sami Kujala,ceb96db3-6054-4f75-be14-c95913a65b62,Finland,Finland,Person,"rock, pop, jazz, folk, hip hop, funk, afro-american",unknown,0%,No,0,0,0,0,0,,,No,1,1,0,0
Sami Saari,4ac4694c-8214-4cfa-8b70-cd9ddd293b43,Finland,Finland,Person,soul,fin,18%,Yes,65,6,0,5,11,2013-03-22,1962,No,26,1,0,1
Samuli Edelmann,17656e9b-9bb0-4f12-9d7d-ebb44163dd5a,Finland,Finland,Person,"pop, finnish",fin,0%,No,250,25,0,0,25,2025-11-28,1968,No,34,1,0,1
Samuli Putro,81665896-2aa2-439a-99ce-cca8523db4f0,Finland,Finland,Person,"finnish, singer-songwriter, indie pop",fin,0%,No,103,9,1,8,18,2025-09-25,1970,No,42,1,1,2
Sandman,fde1bda7-99a9-44d3-9359-7846e71b237e,Finland,Finland,,synthwave,eng,100%,Yes,15,0,2,5,7,2023-09-29,,No,18,1,0,1
Sansa,54a62c6f-bf1c-4b0b-9f74-5466d6fac6f8,Finland,Finland,Person,"downtempo, pop, drum and bass, dance, house, finnish, deep house, electronica, tech house, progressive house",eng,100%,Yes,57,5,0,7,12,2023-06-15,1980,No,37,1,0,4
Sara,81e6457c-3a3f-45a8-946a-160ebc009023,Finland,Finland,Group,"metal, alternative rock, alternative metal, synthpop, scandinavian metal, finnish alternative rock, finnish metal, suomi rock, heavy metal, finnish",fin,0%,No,116,10,2,6,18,2025-01-17,,No,41,2,0,3
Sarcofagus,30ca773d-d6da-4600-bebe-409be3c6b1b3,Finland,Finland,Group,"heavy metal, metal",eng,93%,Yes,61,6,0,1,7,2016,1977,No,25,2,0,3
Satanic Warmaster,cf9e4560-c798-477e-8fe5-93423009b71b,Finland,Finland,Group,"metal, black metal, war, darkness, satanism, vampirism, lycanthropia",eng,88%,Yes,240,23,2,0,25,2024-12-13,1998,No,64,6,2,6
Scandinavianz,30ab15fd-c9a0-449f-b3dc-e2064688ecb8,Finland,Finland,Group,"electronic, instrumental, ambient, dance, house, progressive house, lofi, synthwave, future house, tropical house",eng,100%,Yes,3,0,0,3,3,2025-08-22,,No,15,1,1,1
Seuora,de0b6576-5244-4e3c-b93c-d275345cd9ba,Finland,Finland,Group,"folk, country, blues",eng,100%,Yes,20,2,0,0,2,2015-06-21,,No,11,1,0,2
Shape of Despair,4ee6ca6b-f004-4747-b0b5-b2686b784859,Finland,Finland,Group,"doom metal, funeral doom metal, gothic doom metal",eng,100%,Yes,95,8,2,5,15,2022-02-22,1998,No,57,6,0,7
Sielunvihollinen,6000acbf-a8ea-4dc6-b866-550ac1ac3660,Finland,Finland,Group,"melodic black metal, black metal, finland, satanism, anti-christianity, anti-islam",fin,22%,Yes,146,12,5,1,18,2023-09-08,2011,No,44,5,0,3
Siiri Nordin,407887bd-d6a0-48cc-b60c-f7a929f664c5,Finland,Finland,Person,"pop, alternative rock, finnish, alternative/indie rock, adult alternative pop/rock, alternative singer/songwriter, finnish rock, finnish pop",fin,15%,Yes,36,3,0,6,9,2011-08-22,1980,No,27,1,1,1
Sini Sabotage,03b4489b-dd01-4b89-bb62-4cbd40e5010c,Finland,Finland,Person,pop rap,fin,8%,Yes,33,2,1,8,11,2024-01-17,1986,No,29,1,0,2
Sivuprojekti,40bac6bb-25a8-454b-bc65-c977aeba610e,Finland,Finland,,"finnish, finland, male vocal, pop, pop rap, edm, electro, sivuprojekti, side-project, male vocals",fin,0%,No,8,0,0,8,8,2019-07-13,2017,No,21,2,0,1
Skepticism,20d47cfb-cd42-41e8-b7e0-e7fdd3cf2fe4,Finland,Finland,Group,"metal, finnish, doom metal, funeral doom metal",eng,100%,Yes,83,6,4,3,13,2021-09-24,1991,No,54,6,2,4
Sleepy Sleepers,95c962ac-9160-4d4d-8195-aba27aa68079,Finland,Finland,Group,"comedy rock, punk, finland",fin,0%,No,230,23,0,0,25,2015,1974,No,34,1,0,1
Sodiac,9530e613-1a9f-45c5-9abe-988fa54e6c81,Finland,Finland,Person,"trance, pop, drum and bass, dance, electro, techno, electronica, indie dance, synthwave",eng,100%,Yes,15,1,1,0,2,2024-09-06,,No,8,1,0,1
Solus,2195b099-3f9a-416f-846a-3e60a4668a2d,Finland,Finland,,"metalcore, progressive metal, djent",unknown,0%,No,10,1,0,0,1,2020-11-20,2020,No,3,1,0,0
Sonata Arctica,319b1175-ced9-438f-986b-9239c3edd92d,Finland,Finland,Group,"finnish, power metal, finlandia",eng,100%,Yes,226,21,3,1,25,2024-03-08,1999,No,84,13,4,7
Sound Explosion Band,11f4c470-e143-477f-bcb4-43225448ff3e,Finland,Finland,Group,reggae,unknown,0%,No,0,0,0,0,0,,,No,1,1,0,0
Spekti,88bccdde-5673-4785-a200-4a247aff8377,Finland,Finland,Person,pop rap,fin,0%,No,42,3,0,12,15,2023-11-03,,No,34,1,0,1
Spiritus Mortis,9dd28f79-06b1-4ddc-8fab-cd739dcf8a78,Finland,Finland,Group,"heavy metal, doom metal",eng,100%,Yes,100,8,4,0,12,2025-04-25,1987,No,61,3,2,8
Spotless Souls,dc90fdee-a9c9-4ac3-8fc3-8ca9551d053c,Finland,Finland,Group,"alternative rock, shoegaze, ambient, indie rock, soul",unknown,0%,No,0,0,0,0,0,,2023,No,6,1,1,0
Stam1na,f74c7996-4c0b-4ebd-b1e7-219e21c41286,Finland,Finland,Group,"heavy metal, technical thrash metal, progressive metal",fin,8%,Yes,155,14,1,10,25,2026-02-20,1996,No,37,1,0,2
Stargazery,e4a56b9e-3627-4d71-ba77-f2bb31db8b61,Finland,Finland,Group,heavy metal,eng,100%,Yes,40,4,0,0,4,2025-11-07,2005,No,21,1,0,4
Status Minor,ecc218d1-1e04-42e4-aac0-3fbe07d568a9,Finland,Finland,Group,"finnish, progressive metal",eng,100%,Yes,31,3,0,1,4,2017-12-07,2003,No,17,1,1,1
Stig,d2855896-a274-4bf7-879e-be307f00c74d,Finland,Finland,Person,"pop, pop rap",fin,0%,No,68,6,0,8,14,2024-08-30,1978,No,36,2,0,2
Stormheit,2f54c638-d4c6-41b0-9d7f-2e12c1c0b37f,Finland,Finland,Group,"black metal, folk metal",eng,60%,Yes,75,7,1,0,8,2016-05-27,2005,No,27,2,0,3
Stratovarius,c3d6fdd5-67c5-453e-87e3-d17a00a52879,Finland,Finland,Group,"metal, finnish, power metal, finland, neo-classical metal, scandinavia, scandinave, scandinavie, scandinavian, finlandais",eng,100%,Yes,250,25,0,0,25,2022-09-21,1984,No,84,16,4,6
Suistamon Sähkö,04749e67-c9f1-45af-b1b1-6e5669d4c2ec,Finland,Finland,Group,"pop, rap, hip hop, electronic music, indie folk, alternative hip hop, hip-hop/rap",fin,0%,No,31,3,0,1,4,2025-05-30,,No,15,1,0,2
Sunrise Avenue,fa57d5dc-bcfa-40ea-9638-3d3cd89d1258,Finland,Finland,Group,"finnish, pop rock",eng,100%,Yes,144,12,3,9,25,2021-04-09,2002,No,41,2,0,3
Super8 & Tab,c54d9d94-e94f-4d8d-850d-1c314bd4ee15,Finland,Finland,Group,"trance, edm",eng,100%,Yes,195,15,9,0,25,2024-10-21,2005,No,42,1,1,2
Sur-rur,0a5415f3-47bf-40e3-9ea4-f44b17945526,Finland,Finland,Group,punk,fin,0%,No,146,13,3,1,17,2025-08-29,1996,No,42,1,1,2
Swallow the Sun,0f6df3f2-01f5-4d9a-a047-a76c907d7b66,Finland,Finland,Group,"metal, finnish, death metal, doom metal, death-doom metal, death doom metal, via mistica",eng,100%,Yes,123,10,2,13,25,2024-10-18,2000,No,67,6,2,7
Sweetheart,10dedccd-1818-4039-bf1f-67c63b143be2,Finland,Finland,Group,"garage rock, post-punk",eng,100%,Yes,43,4,0,3,7,1998,,No,18,1,0,1
Switchblade,0fa1c789-9d8f-4bf8-8093-19e458e93b83,Finland,Finland,Person,techno,eng,100%,Yes,30,0,6,0,6,2007-05,1980,No,19,1,0,2
Tarja,1fd8c24b-eaf3-4ee2-9931-b8130099d789,Finland,Finland,Person,"heavy metal, metal, crossover, power metal, symphonic metal, symphonic rock, tarja, finlandia",eng,79%,Yes,250,25,0,0,25,2026-06-12,1977,No,90,5,5,10
Tarot,0c235ae9-7e9d-428f-b0af-3fa8dbb20064,Finland,Finland,Group,"heavy metal, finnish",eng,100%,Yes,132,13,0,2,15,2011-04-06,1985,No,61,2,1,8
Tasavallan Presidentti,6f0e86fc-25ff-4e1f-b14e-024020a07bda,Finland,Finland,Group,"finnish, european, jazz rock, progressive rock, psychedelic folk, psychedelic pop",eng,80%,Yes,152,15,0,2,17,2024,1969,No,43,2,1,2
Team Play,49348b42-c48a-4926-8240-511d5cae6fff,Finland,Finland,Group,indie folk,eng,100%,Yes,12,1,0,2,3,2022-06-03,,No,10,1,0,1
Teemu Viinikainen,c5ef7d7f-3769-4392-8a06-8e9327a88554,Finland,Finland,Person,jazz fusion,eng,82%,Yes,90,9,0,0,9,2022-12-16,1975,No,28,1,0,3
Tempo Giusto,709b49cc-4c64-4220-a6f9-d8fab1e70465,Finland,Finland,Person,"trance, pop, hardcore, dance, house, deep house, techno, electronica, breakbeat, psytrance",eng,100%,Yes,23,0,1,18,19,2024-08-05,1986,No,48,3,0,5
Tenhi,ae79e6ff-72ce-4877-a0dc-dc2a5c1ad407,Finland,Finland,Group,"neofolk, dark folk",fin,21%,Yes,95,8,3,0,11,2023-06-09,1996,No,46,5,2,3
Terveet Kädet,bfa33dfc-16ba-49d6-84ba-5cd8e986e46d,Finland,Finland,Group,"hardcore punk, tornio, finland, punk, thrash metal",fin,24%,Yes,220,19,6,0,25,2023-03-03,1980,No,41,2,0,3
The 69 Eyes,ba1384a7-8b0e-4ea6-bf0c-f1ec17a06d14,Finland,Finland,Group,"rock, metal, finnish, gothic metal, hard rock, gothic, garage rock, gothic rock, glam metal, goth rock",eng,100%,Yes,235,22,3,0,25,2023-04-21,1989,No,82,9,5,6
The Blaster Master,312b1917-5832-41d2-9fe9-6544bd383ab1,Finland,Finland,Group,ska,eng,100%,Yes,40,4,0,0,4,2008,,No,15,1,0,2
The Capital Beat,ef7fef06-1511-4748-9312-2597ff02476b,Finland,Finland,Group,ska,eng,100%,Yes,21,2,0,1,3,2011-09-14,,No,10,1,0,1
The Clap,706697bf-c131-475a-abe8-cf82b4e09ddc,Finland,Finland,Group,ska,fin,0%,No,10,1,0,0,1,1981,,No,6,1,0,1
The Expected,4d385a25-2ea5-4e51-af2c-7b28d88e51e1,Finland,Finland,Group,"indie rock, indie pop",eng,100%,Yes,10,1,0,0,1,2013-04-03,,No,6,1,0,1
The Girlfriends,5b71e6d3-a320-4134-946d-c301e3ff0437,Finland,Finland,Group,"rock, experimental rock, garage rock, noise rock",eng,100%,Yes,25,1,3,0,4,2015-08-18,2010,No,12,1,0,1
The Hearing,e792b64e-9741-4082-b067-3d70edb4eecd,Finland,Finland,Person,art pop,eng,86%,Yes,32,3,0,2,5,2019-10-25,,No,17,1,0,2
The Rasmus,012e3432-71d3-4317-9ce5-b60cb6cdc38f,Finland,Finland,Group,"rock, alternative rock, funk rock, pop rock, symphonic rock, gothic rock, pop and chart, eurovision 2022 artists",eng,100%,Yes,167,14,4,7,25,2025-10-10,1994,No,62,3,1,8
The Sultans,79fca765-5bfe-4189-b521-fa2deb08926e,Finland,Finland,Group,"blues rock, blues",eng,100%,Yes,40,4,0,0,5,2024,,No,14,1,0,1
The True Werwolf,921fccbe-5bb6-442f-9b69-bb3f3d9baf01,Finland,Finland,Group,"darkness, lycanthropia, hate, perversions, dark ambient, satan, vampirism, sex, black metal",eng,93%,Yes,130,8,10,0,18,2024-01-24,2002,No,46,1,0,5
Thee Ultra Bimboos,ce0b7a12-ec4a-4553-b485-61b3edb7b4ad,Finland,Finland,Group,"rock, garage rock",eng,100%,Yes,66,5,2,6,13,2003,1994,No,36,1,0,3
Throes of Dawn,be5f3131-c8ca-4b90-b7ee-e40ffc68a70d,Finland,Finland,Group,"death, nature, melodic black metal, loss, sorrow, solitude, finnish, progressive metal, gothic metal, folk metal",eng,100%,Yes,75,6,3,0,9,2016-07-17,1994,No,32,2,0,4
Tiina,d1913e50-e02f-4ca0-a6d8-9aa333a7bada,Finland,Finland,Person,singer-songwriter,eng,100%,Yes,2,0,0,2,2,2022-09-16,,No,11,1,0,2
Tim Eric,5301ee00-af7a-4732-8f89-2be53302fcb2,Finland,Finland,Person,"uplifting trance, trance, melodic trance, house, tech house, techno, vocal trance, edm",eng,100%,Yes,23,2,0,3,5,2021-10-22,,No,14,1,0,1
Timo Lassy,65541f32-262c-4a6a-a887-d192d6630ff3,Finland,Finland,Person,"jazz, soul jazz, latin jazz, jazzmusiker, saxofonist",eng,96%,Yes,133,12,1,8,21,2024-02-23,1974,No,53,2,0,7
Timo Rautiainen & Trio Niskalaukaus,ba2a3bb1-23a4-4c1b-a6fb-8c93dabaf96e,Finland,Finland,Group,"finnish, heavy metal, hard rock, rock, metal, finland",fin,0%,No,145,12,3,10,25,2025-09-12,1996,No,42,1,1,2
Tontario,f91bc1b4-1f0e-4043-bfcc-b9b7ec21d87b,Finland,Finland,Person,"electronic, house, deep house, electronica, indie dance, progressive house, edm, melodic techno, melodic house",eng,50%,Yes,15,0,3,0,3,2019,,No,16,1,0,3
Tree Climber,f732026a-8746-4422-81e6-b62da643db4f,Finland,Finland,Person,"lo-fi hip hop, instrumental hip hop, downtempo, instrumental, boom bap, hip hop, chillwave, lo-fi",eng,100%,Yes,54,1,5,19,25,2024-05-06,,No,34,1,0,1
Trisector,b554ebf4-5b85-4c06-9262-a33a21c5aa70,Finland,Finland,Person,drum and bass,eng,100%,Yes,13,0,2,3,5,2022-09-23,,No,20,1,0,3
Tuomari Nurmio,1fb517fd-25e4-4f71-9967-6e2674c781ed,Finland,Finland,Person,"finnish, experimental rock, rock",fin,12%,Yes,250,25,0,0,25,2022-09-02,1950,No,39,1,1,1
Tuomari Nurmio & Viides Kolonna,abac0439-8f32-4195-b350-57260210624e,Finland,Finland,Group,"singer-songwriter, art rock",fin,0%,No,11,1,0,1,2,1980,,No,8,1,0,1
Turisas,1cf39e0b-c595-46f7-9ea8-4d2b14843c81,Finland,Finland,Group,"melodic death metal, folk metal, viking metal",eng,96%,Yes,68,5,3,3,11,2013-08-21,1997,No,52,2,2,6
Töölön Ketterä,6f202efd-f990-4c53-93a6-b9a81ee72201,Finland,Finland,Group,grime,fin,0%,No,11,1,0,1,2,2018-03-16,,No,11,1,0,2
UMO Jazz Orchestra,dec63f48-67f3-4a72-8355-5a7fd846c1b5,Finland,Finland,Orchestra,,eng,92%,Yes,250,25,0,0,25,2008,1975,No,33,0,0,1
Uniikki,4de6b6c2-5847-4700-8053-ab654d3b14bb,Finland,Finland,Person,"finnish, hip hop",fin,0%,No,93,8,0,13,21,2015-06-26,1981,No,34,1,0,1
Uniklubi,496c2c0a-839e-45fd-8bbc-83e94e961727,Finland,Finland,Group,"pop rock, alternative rock",fin,0%,No,110,9,1,15,25,2023-03-03,2002,No,34,1,0,1
