Rank,Artist Name,WF Score,Country,Type,Genre Tags,Primary Language,English Ratio,Last.fm Listeners,Last.fm Plays,Size Category,Estimated Tracks,Albums,EPs,Singles,Latest Release Date,Active Since,Score: Popularity,Score: English,Score: Tracks,Score: Active,Score: Genre,Score: Country,MusicBrainz ID,Last.fm URL,Status
149,KYPCK,76,Finland,Group,doom metal,unknown,0%,32820,1449637,wf_sweet_spot,53,5,0,3,2023-08-18,2007,25,8,15,8,12,8,995cad33-034c-4aa0-ac5b-b2d5b654c5ff,https://www.last.fm/music/KYPCK,
150,Käärijä,76,Finland,Person,"alternative rap, eurovision 2023 artists",fin,35%,308958,12943939,big,51,2,2,21,2025-03-21,1993,8,15,15,15,15,8,7d863b14-ff39-49e0-9efc-956e15769457,https://www.last.fm/music/K%C3%A4%C3%A4rij%C3%A4,
151,Paleface,76,Finland,Person,"hip hop rnb and dance hall, finnish, hip hop, political hip hop",fin,43%,126691,2995275,big,146,13,1,11,2025-04-16,1978,8,15,15,15,15,8,fda150d3-bb17-4f8e-bb0c-52f0da218ba8,https://www.last.fm/music/Paleface,
152,Vladislav Delay,76,Finland,Person,"electroacoustic, downtempo, glitch, dub techno, ambient, ambient dub, power noise",fin,33%,145851,2020487,big,230,23,0,0,2025-12-31,1976,8,15,15,15,15,8,039cafb3-4f3d-44a9-b956-7705323f025b,https://www.last.fm/music/Vladislav+Delay,
153,Amorphis,75,Finland,Group,"melodic death metal, progressive metal, metal, finnish, death metal, clean vocals, melodic, symphonic metal",eng,100%,559223,45011939,too_big,250,25,0,0,2025-09-24,1990,2,20,15,15,15,8,efaefde1-e09b-4d49-9d8e-b1304d2ece8d,https://www.last.fm/music/Amorphis,
154,Animal Genie,75,Finland,Person,"indie pop, bedroom pop, alternative rock, indie rock, neo-psychedelia, dream pop, psychedelic rock",eng,100%,100,1066,too_small,20,1,1,5,2024-10-01,1992,5,20,15,12,15,8,90a345e6-00df-4c6c-84e9-f8ca16232a85,https://www.last.fm/music/Animal+Genie,
155,Lala Salama,75,Finland,Group,"indie rock, shoegaze",fin,20%,4061,63160,small,18,1,1,3,2025-03-21,,15,10,15,15,12,8,defbcce5-e467-4d4e-99f0-91624086b340,https://www.last.fm/music/Lala+Salama,
156,Lordi,75,Finland,Group,"metal, finnish, hard rock, speed metal, eurovision, esc",eng,100%,576844,18284364,too_big,221,20,4,1,2025-03-21,1996,2,20,15,15,15,8,b5b4ba6e-6e34-4669-a33b-0d813b4c3d83,https://www.last.fm/music/Lordi,
157,Pepe Deluxé,75,Finland,Group,"art pop, trip hop, finnish, scandinavian, european",eng,100%,102721,1048398,big,100,9,0,10,2024-06-21,1995,8,20,15,12,12,8,04fa6faa-6b42-4c7a-b1db-9aa20b7e4853,https://www.last.fm/music/+noredirect/Pepe+Delux%C3%A9,
158,Sodiac,75,Finland,Person,"trance, pop, drum and bass, dance, electro, techno, electronica, indie dance",eng,100%,826,6597,too_small,15,1,1,0,2024-09-06,,5,20,15,12,15,8,9530e613-1a9f-45c5-9abe-988fa54e6c81,https://www.last.fm/music/Sodiac,
159,Super8 & Tab,75,Finland,Group,"trance, edm",eng,100%,203978,2865052,big,195,15,9,0,2024-10-21,2005,8,20,15,12,12,8,c54d9d94-e94f-4d8d-850d-1c314bd4ee15,https://www.last.fm/music/Super8+&+Tab,
160,The Rasmus,75,Finland,Group,"rock, alternative rock, funk rock, pop rock, symphonic rock, gothic rock, pop and chart, eurovision 2022 artists",eng,100%,1169053,32416395,too_big,167,14,4,7,2025-10-10,1994,2,20,15,15,15,8,012e3432-71d3-4317-9ce5-b60cb6cdc38f,https://www.last.fm/music/The+Rasmus,
161,Winning Team,75,Finland,Group,big room house,eng,100%,14480,89958,wf_sweet_spot,8,0,0,8,2022-05-06,,25,20,10,4,8,8,f6b67f08-0c37-49c6-9804-94f689a265de,https://www.last.fm/music/Winning+Team,
